route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
15585,CMBC,258,UBC/WEST VANCOUVER             , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r258.ashx, , 
15586,CMBC,259,LIONS BAY/HORSESHOE BAY, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r259.ashx, , 
15587,CMBC,290,DEEP COVE                       , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r290.ashx, , 
15588,CMBC,292,UPPER LYNN VALLEY               , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r292.ashx, , 
15589,CMBC,301,NEWTON EXCHANGE/BRIGHOUSE STATION, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r301.ashx, , 
15590,CMBC,311,SCOTTSDALE/BRIDGEPORT ST           , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r311.ashx, , 
15591,CMBC,312,SCOTTSDALE/SCOTT ROAD STN        , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r312.ashx, , 
15592,CMBC,314,SURREY CENTRAL/SUNBURY/SCOTT RD STN, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r314.ashx, , 
15593,CMBC,316,SURREY CENTRAL STN/SCOTTSDALE     , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r316.ashx, , 
15594,CMBC,319,SCOTT ROAD STN/NEWTON EXCHA        , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r319.ashx, , 
15595,CMBC,320,LANGLEY/GUILDFORD/SURREY CTRL STN, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r320.ashx, , 
15596,CMBC,321,WHITE ROCK/NEWTON/SURREY CTRL STN, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r321.ashx, , 
15597,CMBC,323,NEWTON EXCH/SURREY CENTRAL STN, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r323.ashx, , 
15598,CMBC,324,NEWTON EXCH/SURREY CENTRAL STN, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r324.ashx, , 
15599,CMBC,325,NEWTON EXCH/SURREY CENTRAL STN, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r325.ashx, , 
15600,CMBC,326,GUILDFORD/SURREY CENTRAL STN, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r326.ashx, , 
15601,CMBC,329,SURREY CENTRAL STN/SCOTTSDALE     , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r329.ashx, , 
15602,CMBC,332,GUILDFORD/SURREY CENTRAL STN      , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r332.ashx, , 
15603,CMBC,335,FLEETWOOD/SURREY CENTRAL STN      , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r335.ashx, , 
15604,CMBC,340,SCOTTSDALE/22ND ST, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r340.ashx, , 
15605,CMBC,341,GUILDFORD/LANGLEY CENTRE, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r341.ashx, , 
15606,CMBC,345,KING GEORGE STN/WHITE ROCK CENTRE, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r345.ashx, , 
15607,CMBC,351,CRESCENT BEACH/BRIDGEPORT STAT     , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r351.ashx, , 
15608,CMBC,352,OCEAN PARK /BRIDGEPORT STATI       , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r352.ashx, , 
15609,CMBC,354,WHITE ROCK SOUTH/BRIDGEPORT STATION, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r354.ashx, , 
15610,CMBC,364,LANGLEY CTR/ SCOTTSDALE EX, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r364.ashx, , 
15611,CMBC,375,WHITE ROCK/WHITE ROCK STH/GUILDFORD, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r375.ashx, , 
